off topic,in_atlas,groupname,title,keywords,topics,date,originator,publisher,links,Still Public?,Dataset Email,Group,Agency
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Southern California Partyboat Sampling Study, Quarterly Report No. 9",coastal ecology landings marine biology marine fishes coastal resources fishermen ichthyology environmental monitoring ocean fishing marine sciences fish marine resources resource management population biology oceans regulations species composition size composition,Environment Society Fisheries Biota Population,1/1/2010,Stephen J. Crooke,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Southern California Pier Fishermen: How familiar are they with the sport fishing regulations?,land coastal resources forest resources desert resources irrigation water conservation of natural resources fishermen drinking water energy resources electricity hydroelectric power gas fields fuel fossil fuels landings gold mines and mining gems germplasm resources geothermal resources marine resources lumber marine mineral resources ocean fishing marine fishes species identification regulations oceans utilitiescommunications,Biota Population Fisheries Environment Farming Society Groundwater,1/1/2010,Vickie L. Wine,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Southern California Private-boat Sport Fishermen:  How familiar are they with the Sport Fishing Regulations?,ecosystem management fish conservation of natural resources coastal resources applied ecology landings fishermen oceans marine fishes ocean fishing regulations marine resources species identification slash,Fisheries Biota Population Society Environment,1/1/2010,Vickie L. Wine,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Species Composition and Catch per Unit of Effort of Monterey Bay Surf, Pier, and Skiff Anglers in 1979",marine fishes landings fishermen biomass fish coastal ecology ecosystem management coastal resources ocean fishing oceans species composition,Society Biota Population Fisheries,1/1/2010,Jerome D. Spratt,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of Major Southern California Marine Sport Fish Species with Management Recommendations, Based on Analysis of Catch and Size Composition Data Collected on Board Commercial Passenger Fishing Vessels from 1985 through 1987",species composition size composition coastal resources resource management fishermen coastal ecology biomass demography fish conservation of natural resources conservation biology environmental policy environmental monitoring resource conservation marine biology landings ichthyology regulations marine resources marine fishes population biology marine sciences oceans ocean fishing,Society Environment Elevation Population Biota Fisheries,1/1/2010,"J. R. Raymond Ally, David S. Ono, Robert B. Read, Michael Wallac",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Pacific Mackerel Resource and Fishery, 1994 and 1995",conservation biology biomass marine biology age composition marine fishes coastal resources conservation of natural resources landings fishermen fish demography ichthyology environmental monitoring environmental policy marine resources ocean fishing marine sciences mortality oceans regulations population biology resource management resource conservation,Society Environment Elevation Fisheries Population Biota,1/1/2010,"J. Thomas Barnes, Doyle A. Hanan",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Status of the Pacific Mackerel Resource and Fishery in 1998,fishermen age composition coastal ecology demography spawning biomass conservation of natural resources conservation biology fish coastal resources fecundity dispersion environmental policy environmental monitoring migration landings ichthyology size composition marine sciences marine biology marine resources marine fishes resource management oceans ocean fishing mortality resource conservation population biology reproduction regulations,Fisheries Population Biota Society Environment Elevation,1/1/2010,"Kevin T. Hill, Marci Yaremko, Larry D. Jacobson",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Status of the Pacific Mackerel Resource during 1996 and Management Recommendations for the Fishery,dispersion coastal resources age composition landings demography conservation of natural resources biomass conservation biology coastal ecology environmental policy ichthyoplankton environmental monitoring eggs ichthyology fecundity fishermen fish life history ocean fishing larvae marine sciences marine biology marine resources marine fishes regulations population biology oceans spawning reproduction size composition resource management resource conservation,Fisheries Population Biota Elevation Environment Society,1/1/2010,"J. Thomas Barnes, Marci Yaremko, Traci Bishop",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Status of the Pacific Mackerel Resource During 1997 and Management Recommendations for the Fishery,coastal ecology age composition biomass environmental monitoring demography coastal resources conservation of natural resources conservation biology marine resources marine fishes fishermen fish environmental policy marine biology ichthyology landings ichthyoplankton resource conservation mortality marine sciences regulations ocean fishing population biology oceans size composition resource management,Fisheries Biota Population Elevation Environment Society,1/1/2010,"Marci Yaremko, J. Thomas Barnes, Larry D. Jacobson",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Pacific Mackerel Spawning Population, 1973",migration tagging conservation biology spawning coastal resources restoration coastal ecology biomass environmental policy resource management fish population biology fecundity resource conservation environmental monitoring reproduction environmental sciences dispersion conservation of natural resources marine sciences ichthyology fishermen landings oceans marine resources ocean fishing marine fishes marine biology life history demography,Population Fisheries Elevation Environment Society Biota,1/1/2010,"Herbert W. Frey, Eric H. Knaggs",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Pacific Mackerel Spawning Population, 1974",conservation of natural resources age composition conservation biology biomass coastal resources coastal ecology life history environmental monitoring landings development demography ichthyology environmental policy fishermen fish marine fishes marine biology population biology oceans marine resources ocean fishing marine sciences resource conservation reproduction regulations tagging resource management spawning restoration,Environment Elevation Biota Population Fisheries Society,1/1/2010,Eric H. Knaggs,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Pacific Mackerel Spawning Population, 1975",environmental monitoring demography conservation of natural resources coastal resources conservation biology biomass age composition coastal ecology resource management environmental policy ichthyology fishermen fish fecundity environmental sciences resource conservation marine biology marine fishes landings reproduction ocean fishing marine sciences marine resources oceans population biology regulations restoration spawning tagging,Elevation Population Biota Society Environment,1/1/2010,"Eric H. Knaggs, John S. Sunada",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Pacific Mackerel Spawning Population,1976",spawning coastal ecology tagging fishermen size composition biomass resource management age composition fish conservation of natural resources conservation biology coastal resources demography environmental policy fecundity environmental monitoring landings ichthyology marine sciences marine resources life history marine fishes marine biology population biology oceans ocean fishing regulations resource conservation reproduction,Society Environment Elevation Fisheries Biota Population,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Status of the Pacific Sardine (Sardinops sagax) Resource and Fishery,demography ocean fishing larvae mortality conservation of natural resources marine sciences conservation biology marine resources eggs marine fishes age composition resource conservation coastal resources reproduction coastal ecology oceans biomass regulations ichthyoplankton population biology environmental policy spawning grounds environmental monitoring spawning ichthyology resource management landings fecundity fishermen fish marine biology,Biota Fisheries Elevation Environment Society Population,1/1/2010,"J. Thomas Barnes, Marci Yaremko, Doyle Hanan",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1974-75",conservation of natural resources population biology conservation biology coastal resources age composition coastal ecology biomass development fishermen demography fish environmental monitoring fecundity environmental sciences ocean fishing landings ichthyoplankton ichthyology oceans marine sciences marine biology marine resources marine fishes regulations reproduction size composition resource management restoration resource conservation species composition spawning grounds spawning,Society Environment Elevation Fisheries Biota Population,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1975-76",ichthyology conservation of natural resources resource conservation conservation biology regulations coastal resources age composition coastal ecology biomass reproduction fishermen environmental monitoring demography population biology fish environmental policy fecundity environmental sciences oceans landings marine biology ichthyoplankton ocean fishing marine fishes marine sciences marine resources spawning grounds spawning restoration resource management species composition,Elevation Biota Population Fisheries Society Environment,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1976-77",utilitiescommunications conservation of natural resources species composition biomass spawning development marine biology age composition life history conservation biology landings biomass energy ichthyoplankton coastal resources marine resources coastal ecology regulations environmental monitoring population biology dispersion marine fishes fishermen size composition environmental sciences marine sciences fish oceans fecundity ocean fishing reproduction resource conservation resource management ichthyology,Fisheries Biota Population Environment Society,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1977-78",desert resources biomass coastal ecology conservation biology biomass energy utilitiescommunications marine fishes species composition marine biology fish environmental monitoring ecosystem management life history landings fishermen ichthyoplankton ichthyology population biology resource management oceans marine resources ocean fishing marine sciences resource conservation regulations spawning,Society Population Biota Fisheries Environment,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1978-79",age composition coastal ecology biomass conservation of natural resources coastal resources landings ecosystem management ichthyoplankton size composition ocean fishing marine resources resource conservation resource management oceans,Biota Environment,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1979-80",reproduction oceans ecosystem management development biomass energy age composition biomass applied ecology fishermen environmental policy natural history life cycles (biology) ocean fishing landings ichthyoplankton marine sciences marine biology marine resources marine fishes resource conservation utilitiescommunications spawning size composition zooplankton,Biota Population Fisheries Society Natural Resources Environment Ocean,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1980-81",marine sciences conservation of natural resources conservation biology biomass energy biomass age composition marine resources development ecosystem management ichthyoplankton ichthyology environmental policy fishermen fish marine fishes marine biology population biology oceans ocean fishing natural history resource management resource conservation reproduction size composition spawning utilitiescommunications landings,Population Fisheries Environment Society Biota,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1981-82",life history size composition marine resources spawning fish resource management landings resource conservation conservation biology applied ecology conservation of natural resources age composition biomass ecosystem management environmental policy development ichthyology ichthyoplankton fishermen regulations population biology marine biology oceans ocean fishing marine sciences marine fishes reproduction environmental sciences,Environment Society Biota Population Ecology Fisheries,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1982-83",marine sciences applied ecology coastal resources coastal ecology biomass energy biomass fishermen marine biology fish environmental monitoring marine fishes ichthyology landings life history ichthyoplankton ocean fishing resource conservation marine resources reproduction oceans regulations population biology utilitiescommunications spawning grounds spawning,Population Biota Environment Society Fisheries,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1983-84",environmental monitoring conservation of natural resources ecosystem management conservation biology biomass coastal resources coastal ecology population biology environmental policy life history fish landings ichthyoplankton ichthyology marine resources marine fishes marine biology oceans ocean fishing marine sciences resource management resource conservation reproduction regulations species composition spawning,Society Environment Fisheries Population Biota,1/1/2010,"Richard A. Klingbeil, Patricia Wolf",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Status of the Spawning Biomass of the Pacific Sardine, 1984-85",demography conservation of natural resources conservation biology age composition coastal resources coastal ecology biomass fecundity ecosystem management fish environmental policy environmental monitoring life history landings ocean fishing ichthyoplankton ichthyology oceans marine sciences marine biology marine resources marine fishes spawning reproduction regulations population biology resource management resource conservation species composition,Environment Elevation Population Biota Fisheries Society,1/1/2010,Patricia Wolf,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Stock Assessment and Management Recommendations for Pacific Sardine (Sardinops sagax) in 1997,oceans spawning grounds marine resources spawning marine fishes size composition fish age composition ocean fishing sex ratio mortality biomass marine sciences coastal ecology landings resource management environmental policy coastal resources conservation of natural resources marine biology fishermen ichthyology environmental monitoring development demography eggs dispersion population biology resource conservation reproduction conservation biology,Environment Elevation Biota Population Fisheries Society,1/1/2010,"Kevin T. Hill, Marci Yaremko, Larry D. Jacobson, Nancy C. H. Lo,",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"Summary of Pacific Harbor Seal, Phoca vitulina richardsi, Surveys in California, 1982 to 1995",biomass beaches environmental monitoring coastal resources mammals conservation biology demography oceans marine sciences marine biology marine resources marine mammals research population biology,Population Elevation Environment Society Biota,1/1/2010,Marilyn J. Fluharty,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,The Benthic Environment off Orange County Sanitation District's Ocean Outfall No. 2,benthic organisms beaches applied ecology algae conservation biology biodiversity coastal resources biomass coastal ecology biotic communities environmental sciences demography crustaceans conservation of natural resources environmental policy environmental monitoring echinoderms ecosystem management ecological communities mollusks invertebrates fish marine sciences marine biology marine resources marine fishes population biology point source pollution oceans species composition predator prey relations resource management resource conservation,Environment Society Biota Population Elevation,1/1/2010,Robert A. Hardy,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,"The Pacific Herring, Clupea harengus pallasi, Open Pound Roe-on-kelp Experimental Fishery in San Francisco Bay, 1988 to 1989",eggs coastal resources biomass algae resource conservation larvae fecundity ichthyology marine biology fish research marine sciences marine resources marine fishes reproduction ocean farming oceans ocean fishing spawning resource management,Biota Fisheries Environment Farming,1/1/2010,Kenneth T. Oda,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Administrative Reports,Use of the Anesthetic Metomidate Hydrochloride as an Aid in the Open-Water Capture of Young-of-the-Year Rockfish,marine sciences marine fishes dispersion marine biology fish research oceans,Biota,1/1/2010,"James L. Houk, James E. Hardwick, David VenTresca",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,A Checklist of Zooplankters from the Gulf of the Farallones and off Northern California,marine sciences marine resources conservation of natural resources algae conservation biology biomass coastal resources coastal ecology marine fishes eggs echinoderms crustaceans marine biology fecundity larvae invertebrates resource management mollusks resource conservation oceanographic conditions population biology oceans zooplankton species composition,Population Biota Society Environment,1/1/2010,"Robert N. Tasto, Deborah D. Mogelberg, Susan E. Hatfield, Roslyn",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Age Composition of California Landings of Bluefin Tuna, Thunnus thynnus, 1963 through 1969",marine biology age composition conservation biology biomass marine sciences coastal resources ocean fishing coastal ecology ichthyology marine resources marine fishes fishermen landings growth fish resource conservation range size composition population biology oceans resource management,Demographics Elevation Population Biota Fisheries Society Environment,1/1/2010,"Donald L. Schultze, Robson A. Collins",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,A History of the California Live-Bait Fishing Industry,marine resources conservation of natural resources marine fishes coastal ecology marine biology environmental policy landings fish ichthyology fishermen ocean fishing biomass marine sciences coastal resources resource management oceans resource conservation population biology,Society Environment Biota Population Fisheries,1/1/2010,Williams D. Maxwell,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"An Assessment of the Accidental Take of Sea Otters, Enhydra lutris, in Gill and Trammel Nets",resource conservation reproduction capture population biology mortality mammalogy growth conservation biology mammals marine sciences marine mammals marine biology,Society Environment Elevation Demographics Biota Population,1/1/2010,"Friederich E. Wendell, Robert A. Hardy, Jack A. Ames",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"A Quantitative Ecological Study of Selected Nearshore Marine Plants and Animals at the Diablo Canyon Power Plant Site: A Pre-Operational Baseline, 1973-1978",beaches bays age composition applied ecology algae marine biology conservation biology biomass biodiversity benthic organisms conservation of natural resources community structure biotic communities coastal resources coastal ecology environmental policy crustaceans echinoderms ecological communities environmental law eggs ecosystem management fish life history feeding habits environmental sciences mammals larvae ichthyology invertebrates intertidal fauna reproduction marine fishes maturity marine mammals mollusks marine sciences marine resources recruitment oceans oceanography mortality range point source pollution predator prey relations population biology sponges resource conservation resource management species composition sex ratio spawning size composition,Society Biota Population Habitat Elevation Demographics Environment,1/1/2010,"Daniel W. Gotshall, Laurence L. Laurent, Sandra L. Owen, John Gr",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"A Report on the Sea Otter, Enhydra lutris L., in California",growth benthic organisms coastal resources tagging environmental policy algae population biology age composition feeding habits size composition crustaceans biomass oceans coastal ecology marine biology biotic communities mammals sex ratio life history range marine sciences marine mammals mortality reproduction maturity restoration ecological communities conservation of natural resources predator prey relations marine resources invertebrates migration mollusks conservation biology,Biota Population Elevation Demographics Habitat Environment Society,1/1/2010,"Paul W. Wild, Jack A. Ames",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"A Review of California Sea Otter, Enhydra lutris, Surveys",mammals environmental policy coastal ecology biomass conservation biology marine sciences marine mammals marine biology population biology oceans migration range resource management resource conservation,Society Environment Elevation Demographics Habitat Population Biota,1/1/2010,"Frederich E. Wendell, Robert A. Hardy, Jack A. Ames",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"A Review of the San Diego Bay Striped Mullet, Mugil cephalus, Fishery",resource conservation coastal ecology coastal resources biomass population biology conservation of natural resources conservation biology ichthyology fishermen cpue fish environmental policy marine fishes oceans marine biology landings ocean fishing marine resources mortality marine sciences resource management size composition species composition,Elevation Demographics Population Biota Fisheries Society Environment,1/1/2010,John M. Duffy,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"A Simulated Translocation of Sea Otters, Enhydra lutris, with a Review of Capture, Transport and Holding Techniques",marine mammals capture behavior applied ecology marine biology conservation biology coastal resources coastal ecology mammals conservation of natural resources mammalogy environmental policy marine sciences marine resources oceans resource management resource conservation,Environment Habitat Biota,1/1/2010,"Jack A. Ames, Robert A. Hardy, Frederich E. Wendell",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"A Survey of the Marine Environment Offshore from Palos Verdes Point, Los Angeles County, California",species composition food chains (ecology) resource management benthic organisms algae fish ecological communities coastal ecology echinoderms biotic communities biomass coastal resources crustaceans conservation of natural resources conservation biology marine sciences marine fishes marine biology ichthyology larvae invertebrates oceanographic conditions mollusks marine resources resource conservation oceans predator prey relations population biology,Ecology Biota Population Society Environment,1/1/2010,"Dan B. Odenweller, John M. Duffy",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,Average Lunar Monthly Catch of Sardines in California for the 1954-55 through 1961-62 Seasons,ichthyology coastal ecology oceans biomass environmental policy conservation biology age composition conservation of natural resources coastal resources cpue ocean fishing marine fishes marine biology landings mortality marine resources population biology resource management marine sciences fish resource conservation,Biota Fisheries Environment Society Population,1/1/2010,Richard A. Klingbeil,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"California's Pacific Bonito Resource, Its Status and Management",coastal resources biomass conservation biology age composition mortality coastal ecology ichthyology environmental policy migration conservation of natural resources growth feeding habits fishermen fish marine biology maturity life history landings marine fishes marine sciences marine resources ocean fishing reproduction recruitment oceans range population biology size composition resource management resource conservation spawning,Fisheries Biota Population Elevation Demographics Environment Society,1/1/2010,"Robson A. Collins, Alec D. MacCall",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Deepwater Demersal Fishes Observed from the Submersible Avalon (DSRV-2) off the Farallon Islands, 24 June 1985",point source pollution mortality community structure coastal resources biodiversity benthic organisms behavior feeding habits conservation of natural resources oceans conservation biology mollusks environmental policy crustaceans ecosystem management echinoderms marine sciences invertebrates ichthyology fish marine resources life history marine fishes marine biology resource conservation range predator prey relations population biology species composition resource management,Biota Fisheries Habitat Demographics Elevation Environment Society Pollution Population,1/1/2010,"Daniel W. Gotshall, Robert S. Dyer",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Ecology of Fishes in Upper Newport Bay, California: Seasonal Dynamics and Community Structure",life cycles (biology) coastal ecology larvae biotic communities marine resources age composition marine biology biomass range algae marine fishes benthic organisms life history bays marine sciences eggs population biology community structure maturity coastal resources oceans ecosystem management ocean fishing conservation biology resource management ecological communities resource conservation conservation of natural resources reproduction landings recruitment fish sex ratio feeding habits species composition environmental policy spawning invertebrates size composition food chains (ecology) mortality ichthyology migration growth,Biota Population Elevation Demographics Habitat Environment Society,1/1/2010,"Michael H. Horn, Larry G. Allen",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,Mariculture in California,conservation biology conservation of natural resources biomass crustaceans benthic organisms invertebrates applied ecology mollusks mariculture marine sciences marine resources marine biology oceans ocean farming,Society Farming Environment Fisheries Population Biota,1/1/2010,Earl E. Ebert,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Maturation and Growth of Jack Mackerel, Trachurus symmetricus",growth fish age composition conservation of natural resources biomass coastal resources coastal ecology size composition landings marine sciences ichthyology marine resources life history marine fishes marine biology sex ratio oceans ocean fishing maturity resource management population biology resource conservation reproduction,Biota Fisheries Environment Society Population,1/1/2010,"Vickie L. Wine, Eric H. Knaggs",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,Maturation and Growth of Pacific Mackerel Scomber japonicus houttuyn,coastal ecology biomass marine fishes marine biology eggs ichthyology fish spawning oceans maturity marine sciences population biology size composition resource management reproduction,Biota Population Society,1/1/2010,"Eric H. Knaggs, Richard H. Parrish",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Maturity and Spawning of the Pacific Bonito, Sarda chiliensis lineolata, in the Eastern North Pacific",range age composition population biology growth biomass coastal ecology fish coastal resources fecundity eggs marine biology life history ichthyology ocean fishing maturity marine fishes marine sciences marine resources reproduction spawning resource conservation size composition resource management oceans,Environment Society Fisheries Population Biota,1/1/2010,Glenn Black,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Northern Anchovy Age and Size Composition, 1974-75 Season",population biology age composition marine sciences marine biology ocean fishing landings oceans coastal resources size composition coastal ecology resource management biomass resource conservation ichthyology sex ratio environmental policy growth fish marine resources marine fishes,Elevation Demographics Biota Population Fisheries Society Environment,1/1/2010,John S. Sunada,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Observations on the Larval Hatching Success of Dungeness Crab, Cancer magister, from the San Francisco and Eureka-Crescent City Regions",conservation biology spawning coastal ecology resource management biomass recruitment invertebrates resource conservation oceans reproduction population biology conservation of natural resources crustaceans eggs coastal resources larvae life cycles (biology) mortality marine biology marine sciences marine resources benthic organisms,Environment Society Population Biota Ecology,1/1/2010,"Earl E. Ebert, Randolph O. Kelly, Arthur W. Haseltine",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,Pacific Bonito Management Information Document,ichthyology fishermen fish feeding habits environmental policy fecundity coastal ecology biomass age composition eggs cpue coastal resources conservation of natural resources conservation biology life history ocean fishing landings mortality marine resources marine fishes marine biology migration marine sciences maximum sustainable yield maturity population biology sex ratio oceans resource management range resource conservation reproduction spawning size composition,Society Environment Elevation Demographics Fisheries Population Biota,1/1/2010,"R. Collins, A. MacCall, J. Radovich, D. Huppert, G. Stauffer",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Pacific Hake Length Frequencies at California Ports, 1963-70",marine biology ichthyology biomass conservation of natural resources coastal ecology fish conservation biology coastal resources marine fishes population biology oceans marine resources ocean fishing marine sciences resource management resource conservation,Environment Society Fisheries Population Biota,1/1/2010,Tom Jow,,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,Pacific Oyster Disease and Mortality Studies in California,coastal resources coastal ecology algae biomass bays benthic organisms beaches marine resources growth conservation of natural resources marine biology invertebrates mariculture life history resource management mollusks microorganisms marine sciences mortality resource conservation oceans ocean farming,Fisheries Biota Population Society Environment Farming,1/1/2010,"Stanley C. Katkansky, Ronald W. Warner",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,Pismo Clams and Sea Otters,conservation of natural resources beaches resource management bays mammals age composition conservation biology size composition marine biology coastal resources landings benthic organisms cpue coastal ecology fishermen biomass environmental policy resource conservation marine mammals recruitment marine sciences mortality mollusks marine resources population biology predator prey relations oceans invertebrates,Biota Fisheries Environment Society Population,1/1/2010,"Daniel J. Miller, James E. Hardwick, Walter A. Dahlstrom",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
,f,California Department of Fish and Game (Marine) - Technical Reports,"Post Mortem Studies of Sea Otters, Enhydra lutris l., in California",growth marine mammals marine biology coastal resources coastal ecology age composition mammals conservation biology environmental policy conservation of natural resources marine sciences marine resources oceans maturity parasites oceanographic conditions mortality resource management resource conservation population biology restoration size composition sex ratio,Population Biota Environment Society,1/1/2010,"G. Victor Morejohn, Jack A. Ames, David B. Lewis",,http://www.dfg.ca.gov ,TRUE,#N/A,#N/A,#N/A
